T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2000,Percentage of individuals using the internet,6.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
1,"Total, all countries or areas",2005,Percentage of individuals using the internet,16.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
1,"Total, all countries or areas",2010,Percentage of individuals using the internet,29.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
1,"Total, all countries or areas",2015,Percentage of individuals using the internet,41.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
1,"Total, all countries or areas",2017,Percentage of individuals using the internet,46.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
1,"Total, all countries or areas",2018,Percentage of individuals using the internet,49.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
1,"Total, all countries or areas",2019,Percentage of individuals using the internet,51.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
15,Northern Africa,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
15,Northern Africa,2005,Percentage of individuals using the internet,9.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
15,Northern Africa,2010,Percentage of individuals using the internet,24.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
15,Northern Africa,2015,Percentage of individuals using the internet,38.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
15,Northern Africa,2017,Percentage of individuals using the internet,45.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
15,Northern Africa,2018,Percentage of individuals using the internet,47.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
15,Northern Africa,2019,Percentage of individuals using the internet,53.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
202,Sub-Saharan Africa,2000,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
202,Sub-Saharan Africa,2005,Percentage of individuals using the internet,2.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
202,Sub-Saharan Africa,2010,Percentage of individuals using the internet,6.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
202,Sub-Saharan Africa,2015,Percentage of individuals using the internet,20.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
202,Sub-Saharan Africa,2017,Percentage of individuals using the internet,17.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
202,Sub-Saharan Africa,2018,Percentage of individuals using the internet,17.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
202,Sub-Saharan Africa,2019,Percentage of individuals using the internet,17.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
14,Eastern Africa,2000,Percentage of individuals using the internet,0.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
14,Eastern Africa,2005,Percentage of individuals using the internet,1.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
14,Eastern Africa,2010,Percentage of individuals using the internet,4.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
14,Eastern Africa,2015,Percentage of individuals using the internet,14.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
14,Eastern Africa,2017,Percentage of individuals using the internet,17.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
14,Eastern Africa,2018,Percentage of individuals using the internet,16.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
14,Eastern Africa,2019,Percentage of individuals using the internet,17.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
17,Middle Africa,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
17,Middle Africa,2005,Percentage of individuals using the internet,0.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
17,Middle Africa,2010,Percentage of individuals using the internet,2.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2021."
