departamento;MUNICIPIO;Npuesto;gps;votos;direccion;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;7;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;8;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;7;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;9;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;6;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;13;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;13;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;6;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;9;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;11;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;10;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;12;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;17;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;15;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;11;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;13;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;9;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;10;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;12;CALLE 16 # 11 - 75;;
CESAR;VALLEDUPAR;COL. NACIONAL LOPERENA;10.47339543921637, -73.24870962703822;12;CALLE 16 # 11 - 75;;
